referencia,pc1,pc2,lat,lon,area_m2,municipio,uso,tipo_via,nombre_via,numero,direccion,es_residencial,es_asr,error_dnprc
5246301UL9154N,5246301,UL9154N,40.776403,-4.241774,4131.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,X-UA B4,44,CL X-UA B4 44(1) Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5246401UL9154N,5246401,UL9154N,40.776001,-4.240845,2524.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,Y-UA B4,43,CL Y-UA B4 43(1) Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249501UL9154N,5249501,UL9154N,40.779749,-4.238084,531.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3601,AV A 3601 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249502UL9154N,5249502,UL9154N,40.779673,-4.238353,453.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3602,CL W 3602 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249503UL9154N,5249503,UL9154N,40.779591,-4.238537,453.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3603,CL W 3603 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249504UL9154N,5249504,UL9154N,40.779506,-4.238719,444.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3604,CL W 3604 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249505UL9154N,5249505,UL9154N,40.779421,-4.2389,434.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3605,CL W 3605 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249506UL9154N,5249506,UL9154N,40.779336,-4.239082,425.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3606,CL W 3606 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249507UL9154N,5249507,UL9154N,40.779251,-4.239264,416.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3607,CL W 3607 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249508UL9154N,5249508,UL9154N,40.779166,-4.239445,407.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3608,CL W 3608 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249509UL9154N,5249509,UL9154N,40.779077,-4.239626,411.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3609,CL W 3609 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249510UL9154N,5249510,UL9154N,40.778984,-4.239801,441.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3610,CL W 3610 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249511UL9154N,5249511,UL9154N,40.778914,-4.239931,232.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3611,CL W 3611 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249512UL9154N,5249512,UL9154N,40.77885,-4.240032,348.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3612,CL W 3612 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249513UL9154N,5249513,UL9154N,40.778795,-4.240164,402.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3613,CL W 3613 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249514UL9154N,5249514,UL9154N,40.778792,-4.240309,369.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3614,CL W 3614 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249515UL9154N,5249515,UL9154N,40.778807,-4.240453,341.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3615,CL W 3615 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249516UL9154N,5249516,UL9154N,40.778842,-4.240586,310.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3616,CL W 3616 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249517UL9154N,5249517,UL9154N,40.778894,-4.240698,248.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3617,CL W 3617 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249518UL9154N,5249518,UL9154N,40.778945,-4.240797,241.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3618,CL W 3618 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249519UL9154N,5249519,UL9154N,40.779001,-4.24089,240.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3619,CL W 3619 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249520UL9154N,5249520,UL9154N,40.779062,-4.240979,241.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3620,CL W 3620 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249521UL9154N,5249521,UL9154N,40.779127,-4.241062,245.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3621,CL W 3621 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249522UL9154N,5249522,UL9154N,40.779197,-4.241139,250.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3622,CL W 3622 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249523UL9154N,5249523,UL9154N,40.779271,-4.241207,253.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3623,CL W 3623 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249524UL9154N,5249524,UL9154N,40.77935,-4.241266,253.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3624,CL W 3624 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249525UL9154N,5249525,UL9154N,40.779433,-4.241316,250.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3625,CL W 3625 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249526UL9154N,5249526,UL9154N,40.779514,-4.241352,224.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3626,CL W 3626 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249527UL9154N,5249527,UL9154N,40.779591,-4.241388,226.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3627,CL W 3627 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249528UL9154N,5249528,UL9154N,40.779667,-4.241423,227.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3628,CL W 3628 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249529UL9154N,5249529,UL9154N,40.779744,-4.241458,229.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3929,CL W 3929 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
